# flowRate	temperature
10		919.0954
20		722.4928
30		615.1396
40		538.4183
50		485.6393
60		447.4084
70		417.0015
80		392.5786
90		373.0135
100		356.2311
110		341.7313
120		329.0198
# 130		317.6952
# 200		352.7576
# 300		270.7383
# 400		226.1632
# 180		378.5932
# 250		303.8008
